#station_id r_mc scin_hg_tot_sig wcd_lg_tot_sig scin_hg_em_sig scin_hg_mu_sig wcd_lg_em_sig wcd_lg_mu_sig
5048 382.542 111398 81165 99067 11364 62296 18419
5040 369.774 112047 74636 104149 6594 60435 13559
5048 382.542 99616 68473 92019 5038 56519 11380
5040 369.774 121255 85289 113846 10563 68075 16457
5048 382.542 94900 73704 83071 9063 57768 15684
5040 369.774 112479 87446 99892 11175 71268 15712
5048 382.542 101751 80201 89872 10444 64245 15565
5040 369.774 116627 91934 111818 9892 76188 15292
5048 382.542 114994 79326 113462 5315 67433 11521
5040 369.774 115199 90564 112778 8965 70079 19940
5048 382.542 108148 81062 97573 10482 62500 17853
5040 369.774 100816 73402 94009 6495 59760 12689
5048 382.542 98097 64744 89318 8067 53258 10679
5040 369.774 102386 75727 89278 13240 55937 19497
5048 382.542 102842 74635 89770 11727 54149 19845
5040 369.774 101682 79039 92803 6535 62689 15789
5048 382.542 84202 72421 75723 7361 57283 14576
5040 369.774 96983 78496 86171 9950 61737 15972
5048 382.542 79096 65942 71944 6658 53318 12074
5040 369.774 115101 88033 100491 14797 65737 21644
5048 382.542 100295 78218 87721 9522 58648 19135
5040 369.774 127711 91200 115210 12872 70373 19868
5048 382.542 119512 88372 105741 10421 69322 18072
5040 369.774 116362 90344 105481 10592 71476 18710
5048 382.542 108788 83095 95313 13033 61019 21255
5040 369.774 108557 80870 100279 5675 69688 10462
5048 382.542 100716 75121 90690 7976 62142 12581
5040 369.774 111100 92343 102506 9291 71711 20106
5048 382.542 93094 74536 83371 8248 59127 14427
5040 369.774 115610 87158 111030 8733 69400 16978
5048 382.542 101124 73364 89967 8734 60527 12084
5040 369.774 114107 80906 101936 10703 64423 15775
5048 382.542 102023 78094 94636 9042 58981 18744
5040 369.774 114433 80224 109136 7367 67829 11841
5048 382.542 98253 70481 85995 6808 56826 13030
5040 369.774 113169 77161 105613 6734 65715 10959
5048 382.542 101541 67024 91354 8945 55110 11254
5040 369.774 124235 85017 120431 9926 68052 16618
5048 382.542 108042 78147 95328 9400 61103 16662
5048 382.542 103722 76050 92554 9835 60806 14464
5040 369.774 104188 86721 95420 10409 69700 16321
5040 369.774 113134 84469 102892 8901 66325 16964
5048 382.542 112595 79910 100060 7568 63072 16263
5040 369.774 108428 73601 101610 4871 63623 9457
5048 382.542 90777 64515 84442 4842 56316 7724
5040 369.774 115495 91896 109355 8234 73951 17053
5048 382.542 98601 79784 87631 10911 59255 19756
5040 369.774 109989 84714 99959 9019 65438 19119
5048 382.542 119326 77484 107012 11780 60585 16437
5040 369.774 127056 101061 116336 10802 81641 18312
5048 382.542 121902 90243 111654 11979 70013 19696
5040 369.774 122555 91388 106500 11556 71412 19662
5048 382.542 96180 78225 86610 6826 63813 13827
5040 369.774 122828 93151 112907 11112 73575 18603
5048 382.542 101247 85088 87702 10939 66684 18185
5040 369.774 125233 86295 114652 10433 71761 13776
5048 382.542 107158 72431 97845 8590 59354 12613
5048 382.542 102534 81386 91257 11060 64293 16531
5040 369.774 113067 96056 101296 10101 77683 17652
5040 369.774 119925 93254 105269 13503 73846 18756
5048 382.542 101740 87848 88722 13306 66965 20285
5040 369.774 119834 93074 114172 10595 72001 20589
5048 382.542 106854 79631 93735 11050 63302 15657
5040 369.774 112302 83563 99291 15770 61373 21677
5048 382.542 99166 81821 82888 13936 59377 22224
5040 369.774 121901 84352 109518 11140 68126 15433
5048 382.542 103155 77530 91244 10432 61149 15776
5040 369.774 118563 85428 109098 8879 69037 16079
5048 382.542 98722 76703 90919 7076 61924 14307
5040 369.774 89718 80537 77676 11288 60987 19517
5048 382.542 95823 78384 81830 11757 59453 18196
5040 369.774 96213 77050 86837 7940 59181 17262
5048 382.542 88655 70272 79752 9020 54523 15643
5040 369.774 108428 83756 98696 9567 65492 17509
5048 382.542 92896 75533 81789 9983 56908 18088
5040 369.774 114926 83166 102090 12621 66145 16733
5048 382.542 107758 78366 100381 6744 64609 13176
5040 369.774 96559 76708 86366 7736 62099 14093
5048 382.542 86443 70179 78025 8797 54868 14860
5040 369.774 118991 96603 106662 11728 77205 18567
5048 382.542 107129 81544 91160 11601 64571 16617
5040 369.774 112490 92815 102553 13092 71397 21186
5048 382.542 101813 79481 88334 10650 60567 18426
5040 369.774 109293 84436 97774 9759 65142 18786
5048 382.542 102764 77083 90507 7539 60606 15593
5040 369.774 119307 94493 107114 11006 74073 19977
5048 382.542 111122 83480 98870 8444 65964 16915
5040 369.774 118740 84574 106108 11247 64023 19862
5048 382.542 107597 74278 96802 10674 57871 16298
5040 369.774 142961 102118 126817 12603 78551 22740
5048 382.542 117446 98148 105977 10255 77181 20370
5040 369.774 92825 76896 81098 11860 60048 16419
5048 382.542 88188 68244 81035 5934 53078 14739
5040 369.774 114984 85478 103511 12820 65265 19710
5048 382.542 100671 86419 87313 12950 63951 21603
5040 369.774 105221 75611 95613 9822 59069 15797
5048 382.542 91784 79070 81741 9121 59210 19091
5040 369.774 114561 84692 105878 8567 66910 17043
5048 382.542 106189 76004 93119 10616 60359 15375
5040 369.774 87317 76051 75140 7585 57636 17807
5048 382.542 86181 69709 76719 8858 54363 14877
5040 369.774 99979 87971 89166 10208 69388 18464
5048 382.542 93742 75040 82851 7743 57003 17265
5040 369.774 112879 85035 102512 9184 69707 14779
5048 382.542 98838 74654 88813 7170 60969 13228
5040 369.774 94474 82607 82148 9808 63625 18448
5048 382.542 87811 72047 77448 9333 55529 16284
5040 369.774 102870 76539 90616 9234 61035 14682
5048 382.542 101814 68481 91219 8462 55868 11771
5040 369.774 104335 72457 95225 8548 58100 14281
5048 382.542 98244 67620 88388 6609 53939 13087
5040 369.774 92690 73881 79101 10870 57587 15999
5048 382.542 91567 67737 80436 8754 54574 12780
5040 369.774 103840 76561 92535 8435 61251 14556
5048 382.542 91522 69309 81612 8505 52816 16052
5040 369.774 111526 86557 97280 10895 69824 15894
5048 382.542 110985 77811 99346 9835 59819 17610
5040 369.774 111492 82772 102274 7811 69468 12551
5048 382.542 104208 72234 96655 5833 61012 10943
5040 369.774 99445 76840 89408 9118 59071 17298
5048 382.542 100239 67697 90271 11053 51656 15327
5040 369.774 104422 84998 95385 7474 66883 17607
5048 382.542 100540 74879 89615 8343 59979 14426
5040 369.774 110476 76001 102646 7093 61378 13995
5048 382.542 100272 68478 94666 6076 53020 14910
5040 369.774 123673 88453 110085 10826 72181 15337
5048 382.542 107332 82497 95984 6564 67424 14230
5040 369.774 122544 90088 107247 12250 69569 19840
5048 382.542 104120 81257 94449 8340 66779 13659
5040 369.774 106833 80787 100742 5819 67829 12255
5048 382.542 101172 78039 90481 7968 64168 13212
5040 369.774 94795 71682 82282 10613 54845 16233
5048 382.542 90510 72972 81840 8465 55862 16480
5040 369.774 90800 79808 78102 11227 60275 19371
5048 382.542 85969 72695 77184 7330 54096 18051
5040 369.774 108590 83142 103273 9720 67548 15080
5048 382.542 95669 71093 88187 7836 56928 13614
5040 369.774 121809 94722 111890 9955 77064 17465
5048 382.542 118852 86637 107688 11411 68115 17509
5040 369.774 121137 85929 111353 8363 71731 13504
5048 382.542 104638 71489 95332 7390 59773 10856
5040 369.774 110053 81430 99812 8687 66893 14170
5048 382.542 96541 76594 87016 9132 60122 15944
5040 369.774 107090 83107 91696 8379 66992 15677
5048 382.542 109057 78656 96433 7393 62467 15936
5040 369.774 102240 82130 93703 8709 64980 16613
5048 382.542 85159 71416 76571 7055 56590 14072
5040 369.774 101205 83166 90723 8301 66317 16414
5048 382.542 101303 75711 90081 10392 58841 16550
5040 369.774 102518 80191 90133 10221 60055 19555
5048 382.542 95889 76636 84044 11527 57449 18670
5040 369.774 133559 94547 121043 7322 78155 15745
5048 382.542 114012 80865 100746 10853 64890 15138
5040 369.774 117667 82073 108552 7425 67371 14083
5048 382.542 107626 82994 98040 6972 68936 13320
5040 369.774 105650 72923 96708 7084 57633 14707
