#station_id r_mc scin_lg_tot_sig wcd_lg_tot_sig scin_lg_em_sig scin_lg_mu_sig wcd_lg_em_sig wcd_lg_mu_sig
5048 242.745 991 102928 877 50 85114 17876
5040 199.383 2310 226841 2154 107 207669 32997
5048 242.745 1347 145846 1200 64 120776 24361
5040 199.383 1662 186539 1592 73 165035 22343
5048 242.745 976 104398 899 41 88988 14768
5040 199.383 1595 170395 1508 61 147112 23363
5048 242.745 886 111612 798 46 95224 16284
5040 199.383 1512 167323 1374 67 140561 26137
5048 242.745 894 93204 800 35 78468 14415
5040 199.383 1810 172453 1676 73 152146 19572
5048 242.745 836 96440 708 47 79561 16430
5040 199.383 1785 177383 1718 52 160838 17053
5048 242.745 986 95483 878 34 81533 13449
5040 199.383 2289 217579 2164 73 204085 26090
5048 242.745 1133 131832 1124 43 113420 18190
5040 199.383 2419 231223 2343 76 220239 29417
5048 242.745 1596 143570 1467 53 124294 18433
5040 199.383 1645 169980 1467 67 145936 23843
5048 242.745 916 97125 806 32 79071 17583
5040 199.383 2564 232465 2459 65 224612 28100
5048 242.745 1425 137469 1245 65 119447 17430
5040 199.383 2376 237105 2265 83 231197 28679
5048 242.745 1299 125146 1129 68 107927 17253
5040 199.383 1662 177466 1527 91 149043 28356
5048 242.745 1014 107369 849 55 87251 19466
5040 199.383 1908 190251 1762 70 167524 22681
5048 242.745 932 113866 895 37 95502 18155
5040 199.383 1301 158466 1146 83 134579 23630
5048 242.745 791 92666 722 53 77766 14481
5040 199.383 1751 183034 1607 60 160883 21649
5048 242.745 894 102948 847 22 86517 15940
5040 199.383 2700 240024 2563 84 242899 23820
5048 242.745 1546 142869 1451 29 126688 15253
5040 199.383 1606 179284 1488 75 155529 23767
5048 242.745 860 103946 784 44 85950 17647
5040 199.383 1882 198327 1758 73 174721 24840
5048 242.745 1120 111846 1004 29 93455 18283
5040 199.383 7015 366806 6650 202 638338 74404
5048 242.745 2022 190961 1827 77 166249 24383
5040 199.383 2361 221657 2243 56 211327 22427
5048 242.745 1388 128708 1300 55 110881 17035
5040 199.383 1432 161411 1286 61 134718 26630
5048 242.745 861 97740 759 75 76970 20388
5040 199.383 2769 242136 2569 76 235605 28686
5048 242.745 1591 169170 1472 48 149603 19637
5040 199.383 1678 179932 1500 96 157098 22293
5048 242.745 1111 122502 1001 73 105115 17179
5040 199.383 1844 191447 1703 94 167154 24938
5048 242.745 972 103227 900 30 88884 13738
5040 199.383 2229 218847 2098 71 210476 26076
5048 242.745 1266 138879 1127 44 122587 15574
5040 199.383 2305 224560 2157 92 208682 29204
5048 242.745 1260 143934 1136 87 119858 23750
5040 199.383 2209 223629 2070 110 214240 27738
5048 242.745 1443 135756 1324 73 117085 18146
5040 199.383 2267 232017 2174 59 227624 20926
5048 242.745 1482 141359 1381 42 124597 15967
5040 199.383 1831 203282 1744 85 184739 21386
5048 242.745 1139 119061 1047 39 103229 15759
5040 199.383 1668 154843 1481 81 131725 23110
5048 242.745 804 95546 693 87 80057 15197
5040 199.383 2526 223455 2338 91 213832 24564
5048 242.745 1280 135655 1199 34 118735 16409
5040 199.383 1551 177385 1415 78 152659 24279
5048 242.745 884 94255 775 48 78590 15564
5040 199.383 2059 200825 1899 58 185894 16845
5048 242.745 1317 119480 1235 38 107380 11882
